seed,family,number_of_items,capacity,weights,values,greedy_value,optimal_value,failure,relative_gap
261,strongly_correlated,20,244,"(28, 2, 12, 3, 35, 45, 38, 17, 12, 50, 43, 17, 26, 30, 28, 16, 16, 12, 42, 17)","(38, 12, 22, 13, 45, 55, 48, 27, 22, 60, 53, 27, 36, 40, 38, 26, 26, 22, 52, 27)",376,384,True,0.020833333333333332
262,strongly_correlated,20,268,"(21, 49, 35, 27, 30, 22, 24, 22, 15, 1, 45, 37, 38, 15, 27, 11, 10, 21, 35, 50)","(31, 59, 45, 37, 40, 32, 34, 32, 25, 11, 55, 47, 48, 25, 37, 21, 20, 31, 45, 60)",376,398,True,0.05527638190954774
263,strongly_correlated,20,310,"(48, 49, 49, 28, 22, 39, 50, 25, 47, 17, 9, 30, 29, 48, 1, 1, 34, 43, 17, 35)","(58, 59, 59, 38, 32, 49, 60, 35, 57, 27, 19, 40, 39, 58, 11, 11, 44, 53, 27, 45)",417,440,True,0.05227272727272727
264,strongly_correlated,20,298,"(40, 50, 44, 19, 35, 13, 34, 11, 21, 15, 47, 49, 1, 21, 40, 45, 6, 35, 47, 24)","(50, 60, 54, 29, 45, 23, 44, 21, 31, 25, 57, 59, 11, 31, 50, 55, 16, 45, 57, 34)",405,428,True,0.053738317757009345
265,strongly_correlated,20,252,"(26, 31, 21, 31, 34, 21, 14, 46, 15, 13, 18, 43, 15, 50, 35, 3, 22, 11, 27, 29)","(36, 41, 31, 41, 44, 31, 24, 56, 25, 23, 28, 53, 25, 60, 45, 13, 32, 21, 37, 39)",365,382,True,0.04450261780104712
266,strongly_correlated,20,236,"(5, 35, 44, 44, 7, 29, 48, 13, 36, 25, 27, 38, 4, 7, 6, 10, 34, 2, 37, 21)","(15, 45, 54, 54, 17, 39, 58, 23, 46, 35, 37, 48, 14, 17, 16, 20, 44, 12, 47, 31)",365,376,True,0.02925531914893617
267,strongly_correlated,20,222,"(13, 2, 29, 22, 7, 1, 36, 31, 3, 41, 15, 40, 1, 38, 37, 3, 34, 9, 45, 36)","(23, 12, 39, 32, 17, 11, 46, 41, 13, 51, 25, 50, 11, 48, 47, 13, 44, 19, 55, 46)",346,362,True,0.04419889502762431
268,strongly_correlated,20,238,"(49, 35, 36, 21, 3, 27, 8, 47, 12, 37, 18, 15, 1, 46, 46, 15, 23, 10, 14, 12)","(59, 45, 46, 31, 13, 37, 18, 57, 22, 47, 28, 25, 11, 56, 56, 25, 33, 20, 24, 22)",354,378,True,0.06349206349206349
269,strongly_correlated,20,208,"(3, 2, 5, 49, 40, 20, 13, 22, 19, 44, 33, 5, 12, 41, 7, 24, 26, 4, 1, 47)","(13, 12, 15, 59, 50, 30, 23, 32, 29, 54, 43, 15, 22, 51, 17, 34, 36, 14, 11, 57)",346,357,True,0.03081232492997199
270,strongly_correlated,20,262,"(12, 23, 6, 47, 39, 20, 2, 38, 42, 9, 3, 31, 35, 19, 18, 43, 42, 34, 17, 43)","(22, 33, 16, 57, 49, 30, 12, 48, 52, 19, 13, 41, 45, 29, 28, 53, 52, 44, 27, 53)",359,392,True,0.08418367346938775
271,strongly_correlated,20,278,"(31, 42, 23, 22, 44, 12, 24, 34, 36, 43, 31, 7, 5, 43, 27, 7, 27, 41, 48, 8)","(41, 52, 33, 32, 54, 22, 34, 44, 46, 53, 41, 17, 15, 53, 37, 17, 37, 51, 58, 18)",388,408,True,0.049019607843137254
272,strongly_correlated,20,246,"(31, 23, 5, 42, 32, 22, 24, 45, 39, 18, 35, 40, 12, 33, 22, 11, 26, 2, 16, 13)","(41, 33, 15, 52, 42, 32, 34, 55, 49, 28, 45, 50, 22, 43, 32, 21, 36, 12, 26, 23)",355,376,True,0.05585106382978723
273,strongly_correlated,20,264,"(13, 43, 41, 38, 16, 20, 47, 39, 38, 19, 9, 15, 6, 33, 13, 34, 5, 31, 42, 26)","(23, 53, 51, 48, 26, 30, 57, 49, 48, 29, 19, 25, 16, 43, 23, 44, 15, 41, 52, 36)",370,394,True,0.06091370558375635
274,strongly_correlated,20,238,"(10, 30, 24, 27, 3, 14, 2, 43, 18, 14, 39, 50, 39, 47, 14, 1, 22, 26, 31, 22)","(20, 40, 34, 37, 13, 24, 12, 53, 28, 24, 49, 60, 49, 57, 24, 11, 32, 36, 41, 32)",367,376,True,0.023936170212765957
275,strongly_correlated,20,286,"(49, 8, 37, 47, 24, 36, 19, 21, 12, 22, 41, 9, 40, 23, 23, 30, 29, 37, 36, 28)","(59, 18, 47, 57, 34, 46, 29, 31, 22, 32, 51, 19, 50, 33, 33, 40, 39, 47, 46, 38)",414,415,True,0.0024096385542168677
276,strongly_correlated,20,215,"(24, 5, 13, 49, 50, 21, 18, 18, 1, 50, 25, 10, 32, 17, 13, 21, 24, 25, 2, 12)","(34, 15, 23, 59, 60, 31, 28, 28, 11, 60, 35, 20, 42, 27, 23, 31, 34, 35, 12, 22)",339,355,True,0.04507042253521127
277,strongly_correlated,20,250,"(6, 12, 14, 43, 3, 11, 31, 49, 38, 9, 40, 31, 20, 38, 40, 37, 33, 14, 15, 16)","(16, 22, 24, 53, 13, 21, 41, 59, 48, 19, 50, 41, 30, 48, 50, 47, 43, 24, 25, 26)",345,380,True,0.09210526315789473
278,strongly_correlated,20,258,"(19, 32, 18, 3, 31, 41, 44, 31, 24, 15, 30, 35, 16, 18, 24, 50, 23, 2, 25, 35)","(29, 42, 28, 13, 41, 51, 54, 41, 34, 25, 40, 45, 26, 28, 34, 60, 33, 12, 35, 45)",378,388,True,0.02577319587628866
279,strongly_correlated,20,188,"(27, 23, 4, 32, 12, 12, 22, 6, 20, 37, 10, 14, 32, 7, 46, 11, 26, 21, 1, 12)","(37, 33, 14, 42, 22, 22, 32, 16, 30, 47, 20, 24, 42, 17, 56, 21, 36, 31, 11, 22)",315,328,True,0.039634146341463415
280,strongly_correlated,20,314,"(20, 29, 42, 48, 6, 41, 17, 29, 36, 22, 36, 49, 49, 2, 32, 44, 42, 3, 39, 43)","(30, 39, 52, 58, 16, 51, 27, 39, 46, 32, 46, 59, 59, 12, 42, 54, 52, 13, 49, 53)",442,444,True,0.0045045045045045045
281,strongly_correlated,20,238,"(2, 20, 17, 8, 29, 29, 33, 16, 49, 3, 36, 49, 18, 34, 11, 5, 27, 2, 40, 48)","(12, 30, 27, 18, 39, 39, 43, 26, 59, 13, 46, 59, 28, 44, 21, 15, 37, 12, 50, 58)",360,378,True,0.047619047619047616
282,strongly_correlated,20,272,"(43, 3, 43, 31, 46, 44, 25, 21, 10, 8, 4, 14, 21, 37, 33, 21, 31, 42, 37, 29)","(53, 13, 53, 41, 56, 54, 35, 31, 20, 18, 14, 24, 31, 47, 43, 31, 41, 52, 47, 39)",381,402,True,0.05223880597014925
283,strongly_correlated,20,268,"(47, 2, 9, 34, 17, 30, 48, 41, 25, 28, 15, 45, 37, 10, 37, 13, 49, 1, 36, 12)","(57, 12, 19, 44, 27, 40, 58, 51, 35, 38, 25, 55, 47, 20, 47, 23, 59, 11, 46, 22)",362,398,True,0.09045226130653267
284,strongly_correlated,20,188,"(3, 18, 24, 7, 30, 20, 33, 10, 31, 9, 12, 5, 21, 22, 9, 4, 40, 50, 14, 15)","(13, 28, 34, 17, 40, 30, 43, 20, 41, 19, 22, 15, 31, 32, 19, 14, 50, 60, 24, 25)",309,328,True,0.057926829268292686
285,strongly_correlated,20,258,"(38, 19, 25, 37, 38, 30, 6, 17, 23, 26, 30, 4, 24, 31, 10, 41, 46, 41, 12, 18)","(48, 29, 35, 47, 48, 40, 16, 27, 33, 36, 40, 14, 34, 41, 20, 51, 56, 51, 22, 28)",374,388,True,0.03608247422680412
286,strongly_correlated,20,274,"(32, 5, 21, 45, 5, 6, 46, 27, 27, 28, 10, 35, 43, 24, 48, 43, 49, 9, 21, 25)","(42, 15, 31, 55, 15, 16, 56, 37, 37, 38, 20, 45, 53, 34, 58, 53, 59, 19, 31, 35)",370,404,True,0.08415841584158416
287,strongly_correlated,20,198,"(36, 2, 21, 17, 8, 11, 27, 40, 37, 33, 15, 2, 10, 22, 19, 12, 26, 47, 7, 3)","(46, 12, 31, 27, 18, 21, 37, 50, 47, 43, 25, 12, 20, 32, 29, 22, 36, 57, 17, 13)",315,338,True,0.06804733727810651
288,strongly_correlated,20,298,"(19, 32, 48, 31, 31, 4, 33, 28, 41, 46, 2, 30, 40, 49, 30, 12, 31, 11, 32, 45)","(29, 42, 58, 41, 41, 14, 43, 38, 51, 56, 12, 40, 50, 59, 40, 22, 41, 21, 42, 55)",423,428,True,0.011682242990654205
289,strongly_correlated,20,234,"(49, 18, 44, 12, 6, 29, 1, 2, 25, 42, 25, 2, 27, 31, 8, 32, 3, 39, 46, 27)","(59, 28, 54, 22, 16, 39, 11, 12, 35, 52, 35, 12, 37, 41, 18, 42, 13, 49, 56, 37)",356,374,True,0.0481283422459893
290,strongly_correlated,20,249,"(35, 22, 32, 38, 1, 9, 16, 3, 37, 32, 8, 4, 8, 45, 42, 35, 50, 27, 23, 31)","(45, 32, 42, 48, 11, 19, 26, 13, 47, 42, 18, 14, 18, 55, 52, 45, 60, 37, 33, 41)",346,379,True,0.0870712401055409
291,strongly_correlated,20,324,"(43, 31, 47, 41, 33, 6, 25, 41, 43, 35, 31, 8, 48, 37, 18, 48, 14, 17, 38, 44)","(53, 41, 57, 51, 43, 16, 35, 51, 53, 45, 41, 18, 58, 47, 28, 58, 24, 27, 48, 54)",413,444,True,0.06981981981981981
292,strongly_correlated,20,256,"(50, 10, 49, 19, 10, 43, 21, 13, 36, 38, 21, 19, 13, 41, 27, 48, 41, 2, 8, 3)","(60, 20, 59, 29, 20, 53, 31, 23, 46, 48, 31, 29, 23, 51, 37, 58, 51, 12, 18, 13)",380,396,True,0.04040404040404041
293,strongly_correlated,20,246,"(31, 31, 8, 15, 33, 34, 27, 8, 29, 21, 39, 50, 48, 14, 7, 15, 32, 7, 41, 3)","(41, 41, 18, 25, 43, 44, 37, 18, 39, 31, 49, 60, 58, 24, 17, 25, 42, 17, 51, 13)",346,376,True,0.0797872340425532
294,strongly_correlated,20,274,"(12, 3, 31, 13, 48, 6, 28, 46, 39, 37, 26, 26, 50, 42, 29, 20, 16, 39, 15, 23)","(22, 13, 41, 23, 58, 16, 38, 56, 49, 47, 36, 36, 60, 52, 39, 30, 26, 49, 25, 33)",378,404,True,0.06435643564356436
295,strongly_correlated,20,254,"(19, 46, 31, 21, 38, 43, 31, 5, 17, 16, 47, 4, 14, 15, 48, 20, 17, 25, 47, 5)","(29, 56, 41, 31, 48, 53, 41, 15, 27, 26, 57, 14, 24, 25, 58, 30, 27, 35, 57, 15)",380,393,True,0.03307888040712468
296,strongly_correlated,20,234,"(5, 17, 24, 33, 44, 3, 41, 37, 28, 11, 8, 3, 19, 48, 11, 48, 15, 1, 27, 46)","(15, 27, 34, 43, 54, 13, 51, 47, 38, 21, 18, 13, 29, 58, 21, 58, 25, 11, 37, 56)",345,374,True,0.07754010695187166
297,strongly_correlated,20,250,"(34, 24, 48, 26, 3, 47, 21, 8, 7, 11, 2, 11, 29, 26, 19, 30, 50, 46, 26, 32)","(44, 34, 58, 36, 13, 57, 31, 18, 17, 21, 12, 21, 39, 36, 29, 40, 60, 56, 36, 42)",383,390,True,0.017948717948717947
298,strongly_correlated,20,292,"(14, 36, 42, 34, 12, 40, 12, 21, 48, 30, 30, 30, 40, 34, 36, 47, 1, 18, 20, 39)","(24, 46, 52, 44, 22, 50, 22, 31, 58, 40, 40, 40, 50, 44, 46, 57, 11, 28, 30, 49)",422,422,False,0.0
299,strongly_correlated,20,310,"(24, 38, 47, 13, 1, 30, 34, 50, 44, 38, 20, 22, 39, 45, 40, 44, 4, 33, 6, 47)","(34, 48, 57, 23, 11, 40, 44, 60, 54, 48, 30, 32, 49, 55, 50, 54, 14, 43, 16, 57)",432,440,True,0.01818181818181818
300,strongly_correlated,20,242,"(39, 23, 23, 1, 32, 23, 34, 28, 37, 38, 11, 11, 8, 28, 22, 24, 37, 9, 41, 16)","(49, 33, 33, 11, 42, 33, 44, 38, 47, 48, 21, 21, 18, 38, 32, 34, 47, 19, 51, 26)",357,372,True,0.04032258064516129
301,strongly_correlated,20,284,"(26, 41, 32, 35, 30, 42, 16, 43, 40, 17, 8, 16, 34, 9, 7, 29, 36, 46, 41, 20)","(36, 51, 42, 45, 40, 52, 26, 53, 50, 27, 18, 26, 44, 19, 17, 39, 46, 56, 51, 30)",409,414,True,0.012077294685990338
302,strongly_correlated,20,298,"(36, 35, 36, 27, 31, 13, 3, 25, 26, 13, 33, 50, 26, 22, 50, 42, 8, 43, 43, 35)","(46, 45, 46, 37, 41, 23, 13, 35, 36, 23, 43, 60, 36, 32, 60, 52, 18, 53, 53, 45)",427,428,True,0.002336448598130841
303,strongly_correlated,20,263,"(3, 16, 48, 13, 6, 37, 40, 17, 37, 34, 26, 11, 27, 31, 38, 6, 17, 34, 35, 50)","(13, 26, 58, 23, 16, 47, 50, 27, 47, 44, 36, 21, 37, 41, 48, 16, 27, 44, 45, 60)",371,393,True,0.05597964376590331
304,strongly_correlated,20,248,"(9, 14, 28, 33, 29, 4, 15, 43, 47, 20, 16, 38, 48, 15, 49, 4, 4, 19, 17, 44)","(19, 24, 38, 43, 39, 14, 25, 53, 57, 30, 26, 48, 58, 25, 59, 14, 14, 29, 27, 54)",367,388,True,0.05412371134020619
305,strongly_correlated,20,307,"(12, 37, 37, 26, 41, 43, 19, 34, 12, 46, 50, 48, 40, 11, 12, 31, 37, 20, 45, 13)","(22, 47, 47, 36, 51, 53, 29, 44, 22, 56, 60, 58, 50, 21, 22, 41, 47, 30, 55, 23)",431,437,True,0.013729977116704805
306,strongly_correlated,20,291,"(28, 34, 13, 18, 49, 40, 14, 27, 47, 25, 44, 44, 50, 36, 3, 39, 39, 4, 23, 5)","(38, 44, 23, 28, 59, 50, 24, 37, 57, 35, 54, 54, 60, 46, 13, 49, 49, 14, 33, 15)",399,421,True,0.052256532066508314
307,strongly_correlated,20,285,"(41, 33, 20, 49, 45, 19, 34, 31, 28, 18, 2, 44, 25, 41, 14, 38, 23, 7, 14, 44)","(51, 43, 30, 59, 55, 29, 44, 41, 38, 28, 12, 54, 35, 51, 24, 48, 33, 17, 24, 54)",398,415,True,0.04096385542168675
308,strongly_correlated,20,220,"(12, 10, 26, 23, 24, 33, 18, 12, 28, 20, 48, 28, 37, 28, 22, 12, 11, 36, 6, 6)","(22, 20, 36, 33, 34, 43, 28, 22, 38, 30, 58, 38, 47, 38, 32, 22, 21, 46, 16, 16)",332,350,True,0.05142857142857143
309,strongly_correlated,20,211,"(5, 20, 1, 9, 13, 16, 14, 15, 47, 48, 49, 32, 4, 12, 42, 17, 27, 1, 35, 15)","(15, 30, 11, 19, 23, 26, 24, 25, 57, 58, 59, 42, 14, 22, 52, 27, 37, 11, 45, 25)",351,361,True,0.027700831024930747
310,strongly_correlated,20,240,"(36, 5, 13, 43, 17, 11, 19, 38, 34, 23, 21, 31, 28, 48, 13, 11, 38, 20, 9, 21)","(46, 15, 23, 53, 27, 21, 29, 48, 44, 33, 31, 41, 38, 58, 23, 21, 48, 30, 19, 31)",341,370,True,0.07837837837837838
311,strongly_correlated,20,241,"(17, 17, 47, 5, 28, 31, 10, 18, 36, 3, 35, 28, 15, 46, 21, 20, 7, 48, 10, 40)","(27, 27, 57, 15, 38, 41, 20, 28, 46, 13, 45, 38, 25, 56, 31, 30, 17, 58, 20, 50)",370,379,True,0.023746701846965697
312,strongly_correlated,20,230,"(42, 10, 43, 25, 3, 48, 10, 21, 15, 13, 30, 44, 29, 8, 20, 45, 22, 10, 1, 21)","(52, 20, 53, 35, 13, 58, 20, 31, 25, 23, 40, 54, 39, 18, 30, 55, 32, 20, 11, 31)",348,370,True,0.05945945945945946
313,strongly_correlated,20,221,"(37, 11, 43, 28, 31, 2, 13, 9, 4, 23, 22, 2, 10, 29, 26, 31, 38, 26, 48, 9)","(47, 21, 53, 38, 41, 12, 23, 19, 14, 33, 32, 12, 20, 39, 36, 41, 48, 36, 58, 19)",354,361,True,0.019390581717451522
314,strongly_correlated,20,212,"(13, 30, 8, 12, 1, 41, 41, 19, 15, 26, 14, 26, 35, 29, 4, 41, 41, 12, 9, 7)","(23, 40, 18, 22, 11, 51, 51, 29, 25, 36, 24, 36, 45, 39, 14, 51, 51, 22, 19, 17)",335,352,True,0.048295454545454544
315,strongly_correlated,20,215,"(27, 45, 27, 22, 1, 24, 38, 42, 4, 6, 10, 48, 17, 10, 44, 17, 7, 33, 2, 6)","(37, 55, 37, 32, 11, 34, 48, 52, 14, 16, 20, 58, 27, 20, 54, 27, 17, 43, 12, 16)",363,363,False,0.0
316,strongly_correlated,20,188,"(2, 1, 21, 1, 15, 16, 32, 49, 1, 30, 34, 5, 31, 33, 41, 15, 15, 3, 10, 21)","(12, 11, 31, 11, 25, 26, 42, 59, 11, 40, 44, 15, 41, 43, 51, 25, 25, 13, 20, 31)",337,338,True,0.0029585798816568047
317,strongly_correlated,20,265,"(30, 2, 46, 49, 25, 2, 13, 16, 36, 29, 46, 31, 29, 42, 19, 22, 17, 17, 27, 32)","(40, 12, 56, 59, 35, 12, 23, 26, 46, 39, 56, 41, 39, 52, 29, 32, 27, 27, 37, 42)",378,395,True,0.043037974683544304
318,strongly_correlated,20,324,"(45, 42, 4, 30, 26, 49, 27, 11, 40, 43, 20, 27, 42, 46, 41, 25, 23, 48, 47, 13)","(55, 52, 14, 40, 36, 59, 37, 21, 50, 53, 30, 37, 52, 56, 51, 35, 33, 58, 57, 23)",407,444,True,0.08333333333333333
319,strongly_correlated,20,296,"(12, 3, 45, 35, 50, 40, 39, 26, 40, 5, 14, 50, 48, 19, 8, 23, 44, 11, 38, 41)","(22, 13, 55, 45, 60, 50, 49, 36, 50, 15, 24, 60, 58, 29, 18, 33, 54, 21, 48, 51)",403,426,True,0.0539906103286385
320,strongly_correlated,20,292,"(29, 33, 41, 6, 29, 35, 21, 7, 27, 18, 6, 48, 33, 46, 49, 23, 40, 40, 16, 36)","(39, 43, 51, 16, 39, 45, 31, 17, 37, 28, 16, 58, 43, 56, 59, 33, 50, 50, 26, 46)",413,422,True,0.02132701421800948
321,strongly_correlated,20,286,"(18, 26, 9, 24, 36, 29, 22, 47, 16, 39, 30, 28, 50, 43, 28, 30, 15, 1, 49, 33)","(28, 36, 19, 34, 46, 39, 32, 57, 26, 49, 40, 38, 60, 53, 38, 40, 25, 11, 59, 43)",406,416,True,0.02403846153846154
322,strongly_correlated,20,258,"(46, 50, 27, 10, 5, 16, 19, 21, 37, 10, 20, 12, 41, 35, 47, 35, 15, 15, 41, 14)","(56, 60, 37, 20, 15, 26, 29, 31, 47, 20, 30, 22, 51, 45, 57, 45, 25, 25, 51, 24)",394,396,True,0.005050505050505051
323,strongly_correlated,20,254,"(47, 47, 8, 9, 40, 20, 4, 35, 43, 29, 21, 21, 30, 27, 23, 14, 32, 3, 17, 39)","(57, 57, 18, 19, 50, 30, 14, 45, 53, 39, 31, 31, 40, 37, 33, 24, 42, 13, 27, 49)",356,384,True,0.07291666666666667
324,strongly_correlated,20,244,"(38, 11, 46, 46, 31, 6, 35, 28, 22, 5, 1, 17, 33, 12, 14, 23, 23, 10, 41, 45)","(48, 21, 56, 56, 41, 16, 45, 38, 32, 15, 11, 27, 43, 22, 24, 33, 33, 20, 51, 55)",376,384,True,0.020833333333333332
325,strongly_correlated,20,229,"(36, 9, 37, 8, 47, 43, 5, 11, 23, 16, 16, 16, 44, 39, 8, 44, 40, 2, 6, 8)","(46, 19, 47, 18, 57, 53, 15, 21, 33, 26, 26, 26, 54, 49, 18, 54, 50, 12, 16, 18)",341,369,True,0.07588075880758807
326,strongly_correlated,20,222,"(7, 31, 20, 3, 30, 26, 5, 42, 7, 44, 17, 21, 33, 37, 11, 8, 24, 5, 23, 49)","(17, 41, 30, 13, 40, 36, 15, 52, 17, 54, 27, 31, 43, 47, 21, 18, 34, 15, 33, 59)",347,362,True,0.04143646408839779
327,strongly_correlated,20,214,"(4, 34, 29, 21, 47, 49, 48, 9, 10, 14, 32, 47, 14, 8, 11, 12, 8, 15, 13, 4)","(14, 44, 39, 31, 57, 59, 58, 19, 20, 24, 42, 57, 24, 18, 21, 22, 18, 25, 23, 14)",354,359,True,0.013927576601671309
328,strongly_correlated,20,331,"(42, 33, 49, 21, 30, 31, 49, 6, 48, 32, 41, 29, 47, 26, 13, 36, 23, 50, 35, 21)","(52, 43, 59, 31, 40, 41, 59, 16, 58, 42, 51, 39, 57, 36, 23, 46, 33, 60, 45, 31)",420,451,True,0.06873614190687362
329,strongly_correlated,20,217,"(31, 20, 33, 22, 15, 26, 18, 14, 5, 31, 2, 34, 31, 4, 40, 7, 26, 13, 33, 29)","(41, 30, 43, 32, 25, 36, 28, 24, 15, 41, 12, 44, 41, 14, 50, 17, 36, 23, 43, 39)",331,347,True,0.04610951008645533
330,strongly_correlated,20,238,"(40, 5, 4, 26, 36, 2, 22, 40, 33, 22, 48, 41, 38, 16, 8, 9, 6, 28, 16, 35)","(50, 15, 14, 36, 46, 12, 32, 50, 43, 32, 58, 51, 48, 26, 18, 19, 16, 38, 26, 45)",372,378,True,0.015873015873015872
331,strongly_correlated,20,339,"(47, 21, 11, 16, 41, 7, 42, 31, 30, 40, 43, 22, 38, 47, 48, 27, 43, 28, 50, 46)","(57, 31, 21, 26, 51, 17, 52, 41, 40, 50, 53, 32, 48, 57, 58, 37, 53, 38, 60, 56)",432,459,True,0.058823529411764705
332,strongly_correlated,20,264,"(16, 34, 34, 49, 38, 27, 45, 38, 26, 12, 1, 15, 46, 35, 16, 1, 39, 5, 12, 39)","(26, 44, 44, 59, 48, 37, 55, 48, 36, 22, 11, 25, 56, 45, 26, 11, 49, 15, 22, 49)",364,394,True,0.07614213197969544
333,strongly_correlated,20,216,"(36, 23, 23, 14, 26, 6, 19, 35, 35, 22, 27, 17, 16, 22, 36, 16, 28, 6, 22, 4)","(46, 33, 33, 24, 36, 16, 29, 45, 45, 32, 37, 27, 26, 32, 46, 26, 38, 16, 32, 14)",340,346,True,0.017341040462427744
334,strongly_correlated,20,289,"(16, 36, 25, 27, 9, 24, 49, 23, 24, 50, 49, 14, 1, 17, 50, 28, 47, 4, 35, 50)","(26, 46, 35, 37, 19, 34, 59, 33, 34, 60, 59, 24, 11, 27, 60, 38, 57, 14, 45, 60)",423,423,False,0.0
335,strongly_correlated,20,280,"(10, 1, 50, 29, 35, 27, 4, 49, 41, 43, 48, 2, 11, 32, 28, 42, 32, 23, 31, 22)","(20, 11, 60, 39, 45, 37, 14, 59, 51, 53, 58, 12, 21, 42, 38, 52, 42, 33, 41, 32)",382,410,True,0.06829268292682927
336,strongly_correlated,20,266,"(1, 50, 48, 35, 13, 10, 35, 24, 48, 12, 30, 47, 2, 32, 35, 22, 5, 49, 28, 6)","(11, 60, 58, 45, 23, 20, 45, 34, 58, 22, 40, 57, 12, 42, 45, 32, 15, 59, 38, 16)",395,406,True,0.027093596059113302
337,strongly_correlated,20,239,"(13, 32, 34, 24, 48, 1, 33, 34, 24, 17, 29, 2, 24, 41, 32, 46, 2, 16, 19, 7)","(23, 42, 44, 34, 58, 11, 43, 44, 34, 27, 39, 12, 34, 51, 42, 56, 12, 26, 29, 17)",340,369,True,0.07859078590785908
338,strongly_correlated,20,282,"(8, 27, 18, 30, 32, 13, 45, 39, 4, 48, 19, 46, 30, 41, 26, 21, 47, 50, 13, 8)","(18, 37, 28, 40, 42, 23, 55, 49, 14, 58, 29, 56, 40, 51, 36, 31, 57, 60, 23, 18)",379,412,True,0.08009708737864078
339,strongly_correlated,20,252,"(10, 41, 9, 29, 3, 33, 41, 48, 5, 38, 24, 31, 4, 33, 32, 49, 6, 40, 25, 2)","(20, 51, 19, 39, 13, 43, 51, 58, 15, 48, 34, 41, 14, 43, 42, 59, 16, 50, 35, 12)",386,392,True,0.015306122448979591
340,strongly_correlated,20,244,"(26, 37, 7, 34, 35, 8, 37, 18, 12, 21, 15, 45, 34, 36, 17, 20, 10, 36, 30, 9)","(36, 47, 17, 44, 45, 18, 47, 28, 22, 31, 25, 55, 44, 46, 27, 30, 20, 46, 40, 19)",357,374,True,0.045454545454545456
341,strongly_correlated,20,222,"(38, 20, 37, 10, 4, 3, 36, 17, 41, 5, 17, 46, 29, 22, 15, 6, 47, 21, 26, 5)","(48, 30, 47, 20, 14, 13, 46, 27, 51, 15, 27, 56, 39, 32, 25, 16, 57, 31, 36, 15)",340,362,True,0.06077348066298342
342,strongly_correlated,20,264,"(8, 14, 38, 5, 5, 5, 31, 49, 6, 41, 34, 20, 37, 3, 49, 34, 42, 35, 21, 50)","(18, 24, 48, 15, 15, 15, 41, 59, 16, 51, 44, 30, 47, 13, 59, 44, 52, 45, 31, 60)",398,404,True,0.01485148514851485
343,strongly_correlated,20,208,"(13, 32, 49, 11, 30, 37, 6, 34, 21, 27, 2, 17, 20, 11, 12, 45, 9, 13, 22, 6)","(23, 42, 59, 21, 40, 47, 16, 44, 31, 37, 12, 27, 30, 21, 22, 55, 19, 23, 32, 16)",330,348,True,0.05172413793103448
344,strongly_correlated,20,280,"(25, 25, 7, 19, 44, 34, 44, 39, 21, 19, 26, 28, 43, 41, 17, 22, 37, 28, 27, 15)","(35, 35, 17, 29, 54, 44, 54, 49, 31, 29, 36, 38, 53, 51, 27, 32, 47, 38, 37, 25)",409,409,False,0.0
345,strongly_correlated,20,220,"(50, 19, 1, 11, 27, 7, 13, 24, 45, 42, 10, 19, 26, 43, 19, 4, 43, 22, 10, 6)","(60, 29, 11, 21, 37, 17, 23, 34, 55, 52, 20, 29, 36, 53, 29, 14, 53, 32, 20, 16)",368,368,False,0.0
346,strongly_correlated,20,246,"(36, 13, 39, 34, 8, 36, 21, 34, 35, 36, 29, 31, 10, 37, 7, 6, 10, 28, 34, 7)","(46, 23, 49, 44, 18, 46, 31, 44, 45, 46, 39, 41, 20, 47, 17, 16, 20, 38, 44, 17)",368,376,True,0.02127659574468085
347,strongly_correlated,20,226,"(23, 39, 31, 48, 18, 32, 13, 48, 16, 22, 17, 11, 28, 4, 3, 1, 28, 2, 47, 22)","(33, 49, 41, 58, 28, 42, 23, 58, 26, 32, 27, 21, 38, 14, 13, 11, 38, 12, 57, 32)",348,366,True,0.04918032786885246
348,strongly_correlated,20,212,"(21, 50, 12, 14, 16, 30, 24, 6, 36, 13, 27, 1, 29, 21, 45, 11, 23, 7, 2, 36)","(31, 60, 22, 24, 26, 40, 34, 16, 46, 23, 37, 11, 39, 31, 55, 21, 33, 17, 12, 46)",338,352,True,0.03977272727272727
349,strongly_correlated,20,262,"(27, 33, 28, 19, 48, 26, 37, 18, 40, 19, 22, 34, 34, 1, 29, 21, 1, 48, 9, 31)","(37, 43, 38, 29, 58, 36, 47, 28, 50, 29, 32, 44, 44, 11, 39, 31, 11, 58, 19, 41)",381,392,True,0.02806122448979592
350,strongly_correlated,20,290,"(24, 12, 26, 43, 21, 42, 23, 17, 49, 12, 38, 32, 46, 45, 10, 32, 30, 16, 49, 13)","(34, 22, 36, 53, 31, 52, 33, 27, 59, 22, 48, 42, 56, 55, 20, 42, 40, 26, 59, 23)",398,420,True,0.05238095238095238
351,strongly_correlated,20,290,"(40, 37, 23, 21, 47, 18, 21, 47, 19, 40, 30, 25, 15, 26, 30, 15, 18, 48, 18, 43)","(50, 47, 33, 31, 57, 28, 31, 57, 29, 50, 40, 35, 25, 36, 40, 25, 28, 58, 28, 53)",409,420,True,0.02619047619047619
